"product_id","star_rating","total_votes","helpful_votes","review_body","possentiment","neusentiment","negsentiment"
"B0051VVOB2","5","0","0","If you read at all you need a Kindle. It is easy to use, words big enough to where you don't have a problem reading in any situation. Amazon has enough Free stuff( if you join Prime) to keep you reading forever. Down loading games for the most part are cheep, if not free. and the books are cheap and a bunch of free ones.<br /><br />It is real comfortable to hold, in a plane, car , in bed at night ,or sitting in your favorite chair or if you prefer standing up in line at an airport,","0.173","0.777","0.05"
"B0051VVOB2","4","3","2","I have both an iPad and a kindle fire. They both have their places. The fire does exactly what was advertised, no need to bash it for being a value oriented tablet.  I think the fire is going to be great for traveling thanks to its small size and light weight. There are a few quirks with the software but this is common with a brand new device.  The default news stand view is a little annoying  it would be nice to be able to customize the main interface.  This does however keep the device better organized than the iPad.  If the amazon app store expands and they bring instant videos to PS3 it will really help the case for amazon's tablet market.","0.155","0.772","0.073"
"B0083Q04IQ","4","0","0","I recently passed 30 years at work and one of the items available for my service award was a 2nd gen Kindle Fire.  Got it for free.  Sure cannot beat that price.  So far I am happy with the device itself.  Was easy to set up and get working.  Connected to my home network with no problems.  Was already a member of Amazon Prime, so I downloaded a freebie short story from the Kindle Lending Library to make sure that worked.  Went good, no problem.  I also subscribe to Netflix.  Downloaded the Kindle app for that and it seems to work fine.  Just so you know, if you buy an app via your PC to install later on the Kindle, it will not show up in the cloud immediately.  Be patient, it will get there.  Would be nice if Kindle had Flash Player, but I knew ahead of time that was not the case.  Not the fault of Amazon/Kindle, Adobe decided that they would no longer support Flash on the Android platform.  Next, I found a link to the Open Library project (openlibrary.org) at the Amazon site.  This is one of the sites where thousands of ebooks are available to be borrowed at no cost.  This is where I got my first bad surprise.  Some of the older books in the archive are available for download in MOBI or unprotected PDF or unprotected ePub formats.  Some also have the \\""Send To Kindle\\"" option, which Amazon may or may not charge a fee for.  EVERY ONE of the more modern books I was interested in had only 3 reading options.  The first was a format that is delivered to your browser in real time.  You cannot download that format to read later off-line.  The two formats that can be downloaded for later reading are protected PDF and protected ePub.  These formats (at least through Open Library) must be managed via Adobe Digital Editions which Kindle does not support.  So yeah, there are lots of books at Open Library that I was interested in but I cannot read them on my Kindle.  Also linked from Amazon, is Many Books (manybooks.net).  Most (all?) of their content is Kindle compatible, but Idid not see anything there I was really interested in.  There are probably other options out there, the web is a big place.  I have not had a chance to look yet, but was disappointed in Many Books and Open Library.<br /><br />Update - April 1<br /><br />OK, so I may have jumped the gun a bit --- Sorry.  Content that is protected by Adobe DRM cannot be opened by the Kindle reader but I think there is a work around.  According to the Adobe website their DRM software, Adobe Digital Editions, will work with the Aldiko reader app.  Aldiko can be loaded onto the Kindle.  The Aldiko app is in the Amazon app store in two versions.  The free version is dumbed down and ad supported.  The premium version is only $2.99 and has advanced features and no ads.  I am pretty busy right now so I cannot play around with this to check it out.  Will update this post again when I get a chance to try it out.","0.133","0.782","0.085"
"B0083Q04IQ","3","1","1","I was surprised to find that my Kindle Fire had a battery life of only about 5 hours - if I stayed off WiFi and dimmed the brightness.  After several conversations with the very nice people at Amazon support, I exchanged my device.  But the second is not significantly better.  This would not be a device for a long trip or when away from recharging capability for more than a few hours.  Otherwise, the device is OK - although heavier than I had realized.","0.176","0.767","0.057"
"B0083PWAPW","2","13","1","With all the hype on this product, I bought it hoping to have fun with it. I live in Trinidad and you cannot get any apps on this device once you live outside the states. I HONESTLY HATE THIS IT, It's a liability to me. I suggest Amazon should stop selling this device to Countries where their apps are currently not supported.","0.163","0.691","0.147"
"B0051VVOB2","5","4","3","I bought the Kindle Fire for my husband who has routinely co-opted my Xoom for over a year.  I have to say, I might have to start stealing his Fire from time to time.<br /><br />It's smaller than I'm used to (7\\"" vs. 10\\"") and lighter by far.  The interface is easy to negotiate (a little too easy for my liking with the carousel, but my husband is good with it), and the whole device is much more snappy than I expected.  I'm really impressed with the video streaming!  The resolution is much better than I thought, and it streamed just like my more costly tablet without any problems or weird buffering.<br /><br />That said, I don't like it much for reading.  I much prefer E-ink to the backlit screen, which is the case with my Xoom, too.  As others have mentioned, I haven't yet figured out how to get the page numbers/progress meter to reliably show, which is a little vexing, but not a huge deal for me.","0.15","0.768","0.082"
"B00BWYQ9YE","5","0","0","It is great to read and play games on the kindle fire hdx because it is so light so I can play or read in the dark and light.","0.252","0.68","0.068"
"B0083Q04IQ","5","2","1","I have just purchased my 4th Kindle. I am expecting that the next Kindle will be as good as all my Kindles.<br /><br />My first Kindle was a Kindle 2 ereader. It is still being used because I love the weight of the Kindle at night before I go to sleep and all I want is to be able to read a good book. I purchase the Kindle e reader and loved it right away. Only thing is that my husband didn't love that I was purchasing so may books. I did a short stint with a Nook because I could get my local library books on it. As soon as Kindle book were available through my library I switched right back and gave away the Nook.<br /><br />Since my first Kindle I have purchased a Kindle HD 7\\"". Loved all I was able to do with it. Before Christmas I was<br />able to purchase the Kindle HD 8.9\\"" on a special deal. I love the size of the larger Kindle. I did give the 7\\"" Kindle to my grandson.<br /><br />I do love the Kindle Freetime Unlimited because I can control the access by my grandson. He is limited to only what I want him to have. Because of the Kindle Freetime Unlimited I have also purchased a Kindle Fire (not HD) for my granddaughter.<br />Nothing like Kindle Freetime Unlimited is available with any other apps. I do wish the Kindle Freetime Unlimited was available free. Just think of how many parents, grandparents, etc would jump at something to keep our little ones safe.","0.173","0.811","0.016"
"B0051VVOB2","2","1","0","I had to return this product since it was too complicated to put together and I did not really like it.","0.0","0.886","0.114"
"B00BWYQ9YE","4","0","0","I received my HDX  early Feb, I have been looking ever since for this annoying &#34;blue margin&#34;, I have not found it. The xray feature is good but... I thought it was more than just Amazon which is absolutely wonderful as far as it goes, just doesn't go far enough. Since I also have a Kindle Fire first (loved it too) I will admit the HDX is faster more inclusive of all things 2014. The screen is wonderful, the size of the 7 may seem the same as the original but putting them up against one another the HDX is big. My stars are not a 5 because of the useless front camera, not only is it difficult to understand I have not yet found any usefulness to it (I do not sype). Still in love with Kindles and the Amazon community.","0.149","0.78","0.071"
"B0051VVOB2","1","16","2","DO NOT buy this device. I have had it for about 1 month & have had way to many problems with it locking up & having to hard shut it to restart. Now is isn't even holding a charge & won't even turn on. I repeat O NOT buy this item.","0.0","0.909","0.091"
"B0083Q04IQ","4","0","0","I purchased this for my 6 year old little girl for Christmas, she has been in love with it since opening.  Although I have to say I'm a little disappointed because it took getting 2 Kindle's to get one that charged properly.  From reading reviews and researching on the internet the charging is the main problem with the Kindle.  That would be my only complaint and only thing keeping it from 5 stars!!!","0.055","0.81","0.136"
"B0083Q04IQ","5","0","0","I have 30 day Prime movies for free.  I can carry it around with me and use it as a phone for checking emails and reading hews.  I can down load books for free or for a  cheap price and read it any where I can.  It is a good size that fits in my purse. It is not heavy to carry it around.  I am happy with it.","0.188","0.812","0.0"
"B0083PWAPW","2","19","8","I was so excited to receive this new Kindle Fire HD, but from the moment I took it out of the packging I've had problems with it. I've always loved the Kindle family and have believed their products were top-notch, however this is sadly not the case with the Fire HD. I've had it for about a week and I've had to factory reset it about four times. It will randomly tell me an \\""unknown error had occurred\\"" and I have to uninstall all my apps and books and re-install them. That's if I'm lucky and I can get it to connect to the wifi.  The date/time randomly reset to 23:47 on January 1, 2000, which makes it impossible to connect to the Amazon Appstore, however the device won't let me change the date/time. This is all on top of the ads that pervade the system that apparently we have to pay extra to opt out of...what were you thinking Amazon? A faulty device, with software that you clearly released too early without working out all the bugs AND you want me to pay you extra to not see third party ads? This is a low point for what I've always seen as a top-tier retailer.","0.097","0.783","0.12"
"B0083PWAPW","3","0","0","Me parece muy bueno, sin embargo, como estoy en venezuela no tengo acceso a la tienda de amazon para escargar libros, juegos, etc.","0.064","0.717","0.219"
"B0083PWAPW","5","0","0","THE BEST EVER, BATTERY LIFE IS EXCELLENT. BRIGHT AND VERY CLEAR.I WOULD RECOMMEND FOR CHILDREN, IT HAS SO MANY GAMES (EDUCATIONAL).","0.444","0.556","0.0"
"B0051VVOB2","5","3","1","This product, Kindle Fire, was purchased by my husband for my Christmas present.  It is an easy item to get great games, books, etc.  I am so happy with my Kindle and take it everywhere I go.","0.26","0.687","0.053"
"B0051VVOB2","5","1","1","I wasn't sure about buying this for my 8 year old daughter.  I am happy that I did.  She loves to read and this has encouraged her to read even more.  She doesn't leave the house without the Kindle Fire.  I do wish there were more library titles to choose from.  I use it for email and facebook instead of the laptop.  We have had it for almost a month and love it.","0.25","0.725","0.025"
"B0083PWAPW","5","3","3","I researched and debated whether to buy the Amazon Kindle HD or an IPAD<br />I love it! Do not hesitate to buy this Kindle. I spend hours on it. Do yourself a favor and buy a stylus though","0.263","0.737","0.0"
"B0051VVOB2","1","20","3","Every time I go to use mine, the battery is dead.  It locks up all the time also.  It takes a long time to turn on.  It's gets really hot when it's charging.  On the bright side, it makes a nice paperweight.  Failure product, waste of money.","0.103","0.708","0.189"
"B0051VVOB2","5","1","1","Love it...still getting use to using it but so far great for reading and watching movies. Have not tried the TV show part yet. I highly recommend you get a cover that can also be used as a stand, otherwise it does get heavy holding it while reading or watching a movie.","0.215","0.785","0.0"
"B0083PWAPW","5","6","6","I loved my Kindle right out of the box. It works for me because I'm no tech-geek who knows anything better. What you see onscreen displayed here on Amazon, is what you get. Have had it a week now and I have fallen in love with it. The price, you can't beat it (16 gb). My first book ordered was \\""Faith In the Valley\\"" by Iyanla Vanzant. Powerful Keeper.<br /><br />The sound is awesome and the usb cord that came with it is all I needed to keep powered up. When not in use I just connect it to my computer. If you don't have a computer I suggest that you purchase the adapter or you can buy one at Walmart for the same price of $19.99 or at a reduced amount of $9.98 when you order the KFHD. If you don't you will have to pay the full price.<br /><br />Also I would suggest getting the case for it. I purchased the \\""Fintie\\"" brand Leopard case after I ordered. Can't wait for it to arrive. They have a great collection here for the 7 inch HD.<br /><br />I'm 60 years old, if I can understand how to use it right out the box, belive me you can too. Get to know it first and away you'll go. (Smiling)<br /><br />This one works for me and after showing two other people, they loved mine and decided last week to order them one because of the fast service (UPS) before Christmas. Ladies at work love it, but they need to keep their paws AND eyes off my Kindle Fire HD, like I tell them....Get your own girlfriend!<br /><br />FYI: Also when running my computer virus checks, my Kindle HD is hooked up to my computer usb port and it checks my Kindle for virus. I can't say if it works. Just a thought that it would, had no problems with either. Norton does make virus protection for tablets $29.99. There is another called Viper as well. Just a thought to keep it in tip top shape for a long time.<br /><br />**Check out Youtube on others who show you right out the box how to use it quickly and some of its features AND how Amazon can protect it just in case its lost, left someplace or stolen. Some folks got sticky fingers when it comes to this new Kindle Fire HD. (smiling) I'm dead serious people, so keep them in check.<br /><br />Enjoy!ot sticky fingers when it comes to this new Kindle Fire HD. (smiling) I'm dead serious people, so keep them in check.<br /><br />Enjoy!","0.07","0.838","0.093"
"B0083PWAPW","5","0","0","The Kindle Fire HD 7&#34; is everything that I wanted it to be and more!  I have lots of exploring to do before I find all of its goodies.","0.0","0.903","0.097"
"B00BWYRF7E","5","0","0","I love my kindle. Have had it for over a year-no problems. Love being able to call -FaceTime Amazon Customer Service feature for help. Can add many social media Apps & works great.","0.388","0.55","0.062"
"B00BWYQ9YE","5","0","0","Very pleased. Had a little problem getting email set up at first, but once I got it set up, it is great!","0.301","0.636","0.064"
"B0083PWAPW","5","1","1","i LOVE THE KINDLE. The only down side it is very sensitive and often I find myself  advanced 100's of pages foward of where I was reading. Frustrating.","0.218","0.691","0.091"
"B0083PWAPW","5","137","121","I own and have previously used a regular Kindle for reading, which I preferred using over traditional paperbacks. The Fire HD, remarkably, is even BETTER to read from - which came as a surprise to me, since I assumed it would not match the reading experience of the regular Kindle. I find the bright screen of the Fire HD to be marvelous to read from. I experience no glare, and can read for prolonged periods of time with no issues whatsoever. The screen can be read in any lighting condition, since it's so bright. For some people, it will be a tad TOO bright, but I believe you can adjust this in the settings.<br /><br />What I really love about the Fire HD's reading interface is how it makes me a BETTER reader. How? A number of ways. First of all, I love the feature that lets me highlight passages that I like by simply running my finger over them, making them easy to revisit at a later time. I used to enjoy highlighting passages in traditional books, but I was generally too involved in my book to get up and go look for a pen - so I skipped it. Additionally, one of the Fire's functions conveniently stores all highlighted areas, so you can easily go back to your favorite parts (as well as having a simpler \\""bookmark\\"" feature). You can even \\""share\\"" the passages you like on social networks, if you're into that sort of thing. All of these things were possible with the regular Kindle e-reader, but with this tablet, they're 100x easier (thanks to an intuitive, responsive touch interface), and I actually find myself USING the features (all the time).<br /><br />The Fire HD also retains the ability to change the size of the font you're reading, quickly and easily. Again, this is something that the previous Kindle could do, but I find it much more intuitive with the touch controls. Once you get used to the way the device works (which doesn't take long), everything becomes second nature.<br /><br />What else? Page turns are smooth and seamless (something the original Fire stuttered on). Turning pages is incredibly slick - you don't even get that brief \\""black flash\\"" that the regular Kindle performs to refresh its pixels. In fact, you can even PARTIALLY turn the pages, just like in a real book! You turn pages with a quick swipe of the thumb. But if you keep your thumb on the screen/page, you can gently begin to turn the page forward/backward, and hold it where you want. Very useful, if you quickly want to go back to the last sentence or two you read on the previous page, or peek ahead to see if you're near the end of the chapter.<br /><br />I also find that I love having color in my Kindle. Although reading is primarily a black and white affair, it's great to have color when you're perusing the covers of the books in your library, as well as when you're seeing the occasional picture. I generally read novels, but I've perused comics and picture books, and the Fire HD delivers in stunning fashion.<br /><br />Speaking of that color screen (and it should be mentioned that cramming 720p resolution into a 7\\"" screen is a technological marvel), video is also outstanding (something that I also couldn't do on my previous Kindle). It's really fun to read for a bit in bed, and then catch a quick episode of \\""Parks and Rec\\"" on the Netflix app. It doesn't look quite as sharp as it does on my 40\\"" 1080p Samsung (understandable), but it looks darned good, and I feel like it might get even better with downloaded movies (as opposed to streaming). I watched a trailer for a Batman movie on the demo unit at Staples, and it was incredible- it's what sealed the deal for me. The sound on the Fire HD is everything it's been hyped to be, coming through crisp and loud. I also like the placement of the speakers, because if you hold the tablet with both hands, it bounces off of your palms and comes right back at you (although you can still hear it just fine, no matter how you hold it).<br /><br />The Fire HD has some faults - the charging time is painfully slow with the included USB charger, the power button is ridiculously hard to find, and the surface of the back is a bit too slippery. But these flaws are easy to overlook, considering all that I get in return from my Fire HD. It truly makes me look forward to reading every night, and it's a lot of fun to build and browse my digital library (I'm currently collecting Newberry Medal winners - and the ease with which I can quickly download these should also be commended). Read on, readers!luded USB charger, the power button is ridiculously hard to find, and the surface of the back is a bit too slippery. But these flaws are easy to overlook, considering all that I get in return from my Fire HD. It truly makes me look forward to reading every night, and it's a lot of fun to build and browse my digital library (I'm currently collecting Newberry Medal winners - and the ease with which I can quickly download these should also be commended). Read on, readers!","0.184","0.763","0.054"
"B0051VVOB2","4","0","0","I have thoroughly enjoyed my Kindle Fire since it arrived in Nov. It has taken over a ton of the duties my Android phone once had to do. I am very happy with it.  The screen size is perfect and it is light enough to be easy to use for an extended amount of time.   The Fire appstore does not have as many applications on it as the Google market.  I have found that a lot of the apps not yet on the amazon appstore work completely fine.  Wish the app venders would catch up and get their apps loaded onto the appstore. So many of them work perfectly on the Fire.    The media infrastructure was the killer-app for me. I have wanted a highly mobile device that I could watch Netflix, Amazon Videos, and my own personal media server media on. I hated having to pull out the laptop to do this.  Now I can access all three from this one tablet. Superb. Amazon Video on the Fire is oustanding quality.  Netflix is very good too, though Amazon obviously knew how to get the most out of the Fire for their own purposes.   I use my Kindle Fire for everything except my primary reading device.  I still prefer the e-ink Kindle Reader for my voluminous book reading. Loving all my Kindles.  The only issue I have seen with my Fire is that the audio appears to be messed up when plugged into a external sound system.  It has a ferocious hiss that may require me to contact customer service to fix it. Problem doesn't arise when listening through the internal speakers.  Otherwise I am very happy with the Fire. Great price, great function.  Couldn't be happier.","0.164","0.736","0.1"
"B0083PWAPW","3","10","4","I received my KFHD for my birthday.  At first I was very excited. The excitement started to wear when I beegan to use it.  The problem with this new KFHD is that it is very limited to the apps you can download.  Kindle has made it impossible to download Google apps,that is of course if you decide not to Root the KFHD.  The other issue I have is that Flash is not made part of the KFHD and therefore you cannot watch many videos, including Youtube. Forget about the camera, you can download a camera app but the quality of pics taken is very very poor.  Finally, why not include 3G so the user does not have to rely on searching for WIFI hot spots in order to take advantage of the full value of the KFHD....poor thinking on the part of the developers.","0.064","0.87","0.066"
"B0083Q04IQ","5","0","0","The screen is sharp, it runs quite well, i can get on the web, read my email, play a few games, listen to my music as well as countless books to read. Very pleased. I also found a good book on how to use the thing as it doesnt come with any documentation. Was a great help to me. [[ASIN:B00DKG6PAU Using Kindle Fire (Computer Training)]]","0.27","0.698","0.032"
"B0051VVOB2","5","5","4","The Kindle Fire is almost wonderful. Incredible graphics, great interface, perfect size and almost what I expected. I bought it because I wanted a color reader that I could use to read while listening to music. What I got wasn't quite that. Don't get me wrong. I do love it, especially the price, but it does have limitations.  I'm giving the device 5 stars. It really is great - but be aware of its limitations. The marketing descriptions would not get 5 stars for truth in advertising.  My complaint is about the \\""Cloud\\"" description on the selling page. Amazon may not have meant to mislead the reader, but the \\""Unlimited Cloud\\"" only stores Amazon purchased music, etc. I have a vast music collection, especially vinyl and 78s which I digitized for my personal use. And when I mean vast, I mean over 500 albums, probably 300 or more 45s, and about 200 78s, some of which are very rare and should not be handled. Ever. (And no, I had no plans to store all that in the \\""Cloud\\"". I have a Green Drive for that.)  The \\""Cloud\\"" will not store much non-Amazon music, though the device will store some of it; but, I do not want to fill up the device with music that the \\""Cloud\\"" won't accept. The KF has no more space than my iPhone, so I know that I can't really put any music on it. I had hoped for a machine on which I could read and listen to part of my music collection, but the Kindle Fire isn't it (and I'm not going to pay $20 a month for limited \\""Cloud\\"" space of non Amazon items.)  So, it is not a tablet. Be aware of that when you purchase it and choose your apps wisely. You've only got about 6 gigs of actual storage on the device.  But, as a reader, it is wonderful and that is the primary reason I purchased it. I just wasn't happy with the \\""Unlimited Cloud\\"" marketing phraseology. It's misleading.  Oh, I have the Netflix app. The movie quality is superb.  Overall, I'm happy. I just wish the marketing had been clearer about the \\""Cloud\\"".","0.129","0.783","0.088"
"B0083PWAPW","3","16","4","There r good things about this kindle fire hd but there r a lot of things that drive me crazy. As in the title. Also no mouse or mouse-like area so you cant move the cursor easily when entering text. And given the touch screen only method of entry and selection, it's extremely frustrating that i cant copy text and paste it in to some other areas like email address areas.  The inability to watch anything requiring flash media player means no youtube and many other embedded videos.  Also i knew this was not an ipad whan i ordered it bought thought that doubletwist or other players would be available. That hasnt worked out so far tho ive only been trying for the last week.  My audible books are sync'd and that's nice.  i purchased a text editor/office-type integrated package, but there's no dictionary as part of that software or preinstalled on the kindle. so spell checking doesnt work. u have to buy every little add-on that u might take 4 granted and depend on to do ur normal tasks.  so the total cost will b much higher than the 199$.","0.072","0.825","0.104"
